,distance,rating,renterTripsTaken,reviewCount,responseRate,newListing,fuelType,responseTime
170,19.0,5.0,2,0,,False,,
171,9.0,5.0,14,0,,False,,
172,9.0,5.0,15,0,,False,,
173,17.0,5.0,6,0,,False,,
174,32.0,4.89,28,0,,False,,
175,8.0,,0,0,,True,,
176,17.0,,0,0,,True,,
177,26.0,5.0,11,0,,False,,
178,19.0,5.0,2,0,,False,,
179,25.0,5.0,11,0,,False,,
180,9.0,5.0,4,0,,False,,
181,10.0,,1,0,,False,,
182,0.0,,0,0,,False,,
183,14.0,5.0,3,0,,False,,
184,29.0,,0,0,,False,,
185,13.0,5.0,11,0,,False,,
186,42.0,,0,0,,False,,
187,10.0,,0,0,,False,,
188,4.0,4.0,2,0,,False,,
189,14.0,4.5,2,0,,False,,
190,49.0,,0,0,,False,,
191,21.0,5.0,2,0,,False,,
192,22.0,,0,0,,False,,
